Order_ID,Customer_ID,Customer_Name,Product_Name,Product_Category,Quantity,Unit_Price,Revenue,Profit,Order_Date,Region,State_City
ORD001449,CUST00515,Angelica Parker,Table Lamp,Home decor,6,2537.83,15226.98,2916.82,06/02/2024,North,Lucknow
ORD003894,CUST00045,Angelica Tucker,Notebook,Stationary,5,6493.44,32467.2,8538.74,07-15-2023,North,Jaipur
ORD006175,CUST00038,Cassandra Gaines,Snack Box,Groceries,1,12444.72,12444.72,1543.65,14-Sep-2025,North,Delhi
ORD005702,CUST00165,Michael Powell,Running Shoes,Sport,6,21489.03,128934.18,8963.2,2025-07-10,South,Bengaluru
ORD006519,CUST01783,Mary Houston,Sketchbook,STATIONERY,4,272.99,1091.96,268.24,09-24-2024,South,Hyderabad
ORD003756,CUST00991,Carmen Preston,Desk Organizer,stationery,5,17571.18,87855.9,15551.14,2024-05-23,East,Kolkata
ORD003349,CUST01405,Christopher Perez,Dumbbell Set,Sport,4,12569.39,50277.56,3155.9,05/01/2023,South,Chennai
ORD004237,CUST00758,Melissa Stephens,Bluetooth Speaker,Electronics,1,22074.14,22074.14,5866.93,11-12-2025,West,Pune
ORD000323,CUST01000,Elizabeth Sanders,Wall Art,HomeDecor,1,18310.12,18310.12,4081.05,2023-06-10,West,Mumbai
ORD004712,CUST01075,Catherine Frazier,Tablet,Electronics,8,9788.57,78308.56,23424.02,14/07/2024,West,Mumbai
ORD004953,CUST00198,Spencer Haynes,Bluetooth Speaker,Electronic,6,3246.53,19479.18,3173.01,02-Jan-2024,North,Lucknow
ORD003891,CUST01740,Laura Bush,Sketchbook,STATIONERY,3,6567.63,19702.89,6631.7,12-May-2023,South,Kochi
ORD004644,CUST01148,Sarah Booth,Photo Frame,HomeDecor,5,13226.41,66132.05,6369.15,14-Oct-2023,West,Mumbai
ORD001681,CUST01679,Donald Flores,Rice Bag,Groceries,1,20059.72,20059.72,1407.82,03/03/2025,North,Delhi
ORD001129,CUST00925,Danielle Murray,Football,Sports,3,16248.82,48746.46,7406.68,16-Dec-2025,East,Bhubaneswar
ORD004687,CUST00512,Curtis Taylor,Tennis Racket,SPORTS,2,12696.52,25393.04,7516.13,2023-10-03,East,Patna
ORD001543,CUST01592,Nicolas James,Curtains,Home Decor,5,10212.63,51063.15,4856.22,30/05/2023,South,Hyderabad
ORD005791,CUST01432,Justin Foster,Desk Organizer,stationery,4,434.95,1739.8,412.2,26-Sep-2024,East,Guwahati
ORD007127,CUST01324,Matthew Watts,Backpack,STATIONERY,1,1692.9,1692.9,246.01,2024-05-26,North,Jaipur
ORD002473,CUST00404,Kathleen Webster,Wall Art,Home Decor,2,23066.03,46132.06,9452.27,12-Oct-2024,North,Delhi
ORD004828,CUST01692,Julie Anderson,Bicycle,Sports,8,12782.8,102262.4,18833.8,11-12-2024,East,Kolkata
ORD006994,CUST01707,Jessica Cobb,Rug,Home decor,1,22071.79,22071.79,3873.13,08/02/2024,East,Kolkata
ORD002481,CUST01146,Kristin Huerta,Bluetooth Speaker,ELECTRONICS,5,23236.41,116182.05,20718.41,20/09/2025,West,Mumbai
ORD004846,CUST00556,Nicole Gonzalez,Office Chair,furniture,8,22479.93,179839.44,21943.74,10-13-2024,West,Ahmedabad
ORD002120,CUST00564,Veronica Silva,Photo Frame,HomeDecor,4,20764.13,83056.52,17645.01,18-Oct-2024,South,Bengaluru
ORD001464,CUST00832,Richard Stevens,Snack Box,GROCERIES,2,21886.91,43773.82,3703.45,2023-09-17,West,Ahmedabad
ORD002550,CUST00600,Susan Thompson,Laptop,Electronic,1,19984.93,19984.93,5938.31,15/06/2023,North,Lucknow
ORD003227,CUST00400,Hannah Luna,Tablet,ELECTRONICS,8,3603.75,28830.0,9921.07,2025-03-31,South,Bengaluru
ORD002148,CUST00526,Joseph Shaw,Desk Organizer,stationery,7,18912.21,132385.47,22669.64,05-18-2023,South,Kochi
ORD007498,CUST01799,Jeremy Mosley,Notebook,Stationery,1,7339.59,7339.59,2390.48,08-Nov-2024,North,Chandigarh
ORD004292,CUST00610,Casey Chase,Rice Bag,groceries,2,16496.01,32992.02,10568.61,10-07-2024,West,Pune
ORD005424,CUST01605,Jason Hayes,T-Shirt,clothing,3,20123.1,60369.3,8509.8,10-05-2023,West,Surat
ORD005322,CUST01560,Harold Garrett,Rice Bag,Groceries,1,778.64,778.64,181.86,06-15-2023,North,Delhi
ORD000493,CUST01466,Dr. Nicole Trujillo,Jeans,Clothing,2,23117.17,46234.34,15079.01,08-30-2025,South,Chennai
ORD002846,CUST00454,Cynthia Vang,Tablet,electronics,5,8608.61,43043.05,10275.3,2024-03-02,East,Bhubaneswar
ORD004663,CUST00748,Dana Bennett,Yoga Mat,Sports,1,17520.24,17520.24,876.28,11/11/2024,West,Mumbai
ORD003046,CUST01771,Michael Nixon,Rug,Home decor,8,23526.6,188212.8,28080.01,07-24-2024,West,Surat
ORD005140,CUST01691,Kim Beltran,Smartphone,Electronics ,1,18636.82,18636.82,2081.24,2023-06-27,East,Kolkata
ORD007314,CUST01039,Samuel Suarez,Headphones,Electronics ,2,2013.12,4026.24,276.36,2023-10-17,North,Lucknow
ORD001967,CUST01697,Michael Ortega,Laptop,Electronics,1,4844.4,4844.4,1056.39,03/01/2023,North,Lucknow
ORD003600,CUST00207,Bryan Herrera,Camera,ELECTRONICS,2,14367.46,28734.92,6901.37,21-Dec-2024,West,Pune
ORD003646,CUST01639,Lee Stewart,Coffee Table,FURNITURE,5,1319.19,6595.95,1440.78,11/04/2024,South,Bengaluru
ORD006249,CUST01769,Karen Thomas,Yoga Mat,sports,2,6054.65,12109.3,681.45,2025-01-14,East,Kolkata
ORD007637,CUST01614,Brittany Melton,Tennis Racket,Sports,1,4844.64,4844.64,1663.33,16-Mar-2024,West,Mumbai
ORD007690,CUST01292,Christopher Jones,Office Chair,Furniture,3,2945.64,8836.92,2579.35,01-16-2025,South,Hyderabad
ORD005506,CUST01158,Heidi Brown,T-Shirt,Clothing,4,12326.2,49304.8,14494.2,05-10-2025,West,Mumbai
ORD007718,CUST01040,Corey Whitaker,Dining Table,Furniture,7,12233.06,85631.42,15035.1,08-Oct-2023,West,Pune
ORD003675,CUST01741,John Vaughn,Wall Clock,Home Decor,1,9192.34,9192.34,952.61,26-Mar-2023,West,Surat
ORD004323,CUST00283,Jessica Garcia,Hoodie,Clothes,7,16282.21,113975.47,30989.04,18-Jan-2024,South,Chennai
ORD007621,CUST01358,Tonya Ellis,Jacket,Clothes,1,10954.03,10954.03,1537.13,14/10/2025,North,Delhi
ORD001925,CUST01625,Amanda Nash,Sneakers,Clothes,8,22534.05,180272.4,25431.42,08-13-2024,East,Kolkata
ORD004794,CUST00099,Jessica Smith,Jacket,CLOTHING,5,7893.99,39469.95,2895.11,2024-08-12,North,Delhi
ORD004055,CUST00151,David Wright,Notebook,Stationery,7,24245.38,169717.66,57326.23,30/07/2023,South,Kochi
ORD003969,CUST00810,Heather Page,T-Shirt,Clothes,8,8185.57,65484.56,9957.48,2024-06-02,East,Bhubaneswar
ORD004013,CUST01341,Theresa Wilkins,Coffee Beans,groceries,2,20024.76,40049.52,9356.46,06-02-2024,West,Ahmedabad
ORD005634,CUST00337,Daniel Kane,Wall Art,HomeDecor,6,19463.88,116783.28,36341.96,20-Oct-2025,East,Bhubaneswar
ORD002816,CUST00291,David Smith,Running Shoes,sports,7,13442.48,94097.36,22891.93,2025-05-22,North,Chandigarh
ORD002108,CUST00328,Trevor Johnson,Tablet,electronics,5,16076.79,80383.95,17677.01,07-06-2025,East,Kolkata
ORD000159,CUST00057,Timothy Duncan,Smartphone,Electronics ,4,21449.21,85796.84,20952.79,02-28-2024,East,Guwahati
ORD002218,CUST01640,Whitney Gomez,Dining Table,Furniture,2,14910.89,29821.78,5099.03,27-Aug-2024,North,Jaipur
ORD005260,CUST01751,Nicole Acosta,Rice Bag,Grocery,2,981.77,1963.54,531.35,30/05/2024,West,Surat
ORD004779,CUST01583,Michael Woods,Camera,Electronics ,2,4243.81,8487.62,2254.78,2025-07-14,South,Bengaluru
ORD006409,CUST01058,Brian Hunt,Desk Organizer,Stationery,5,23587.28,117936.4,30277.88,26/09/2025,South,Bengaluru
ORD002425,CUST00787,Lisa Cervantes,Desk Organizer,Stationary,1,4179.47,4179.47,415.28,2025-07-15,East,Bhubaneswar
ORD003682,CUST00865,Austin Baker,T-Shirt,CLOTHING,8,18995.8,151966.4,9427.48,09/11/2023,East,Patna
ORD004018,CUST00588,Jeremy Scott,Yoga Mat,Sport,4,9587.63,38350.52,8251.45,2024-08-05,East,Patna
ORD004826,CUST00560,Louis Martin,Table Lamp,home decor,8,14067.69,112541.52,9275.13,10-03-2025,East,Kolkata
ORD007599,CUST00138,Courtney Gonzalez,Coffee Table,FURNITURE,1,2127.83,2127.83,623.88,15-Jun-2025,West,Ahmedabad
ORD006457,CUST00241,Andrew Avila,Notebook,stationery,5,5067.16,25335.8,6651.33,19-Feb-2025,North,Chandigarh
ORD000763,CUST01514,,Curtains,home decor,4,,17976.52,2878.32,10-01-2023,,Delhi
ORD001093,CUST00498,James Bradley,Bookshelf,Furniture,6,16104.58,96627.48,6978.52,03/10/2025,South,Kochi
ORD007817,CUST01640,Whitney Gomez,Sketchbook,Stationery,5,17820.46,89102.3,6720.57,2023-01-19,North,Lucknow
ORD005954,CUST00355,Patricia Le,Yoga Mat,Sports,8,19574.7,156597.6,13749.59,07-14-2025,East,Guwahati
ORD002388,CUST00995,Anthony Armstrong,Bed Frame,Furnitures,1,2133.96,2133.96,610.66,2023-07-22,North,Delhi
ORD006173,CUST00564,Veronica Silva,Office Chair,furniture,2,2344.56,4689.12,1416.31,10-29-2024,South,Chennai
ORD005504,CUST01377,Karen Fernandez,Notebook,STATIONERY,4,7114.44,28457.76,2661.33,10-12-2025,South,Chennai
ORD007559,CUST00022,Patty Perez,Office Chair,Furniture,6,23587.97,141527.82,33923.48,2024-12-21,South,Kochi
ORD003920,CUST01344,Kyle Black,Dress,CLOTHING,3,21875.26,65625.78,8134.5,2025-06-01,South,Chennai
ORD003172,CUST00753,Michael Fuentes,Bicycle,sports,8,15574.99,124599.92,12111.43,2024-08-15,East,Guwahati
ORD000885,CUST00154,Devon Flores,Smartphone,Electronics,4,11783.54,47134.16,7801.56,2025-09-25,North,Jaipur
ORD007009,CUST00321,Susan Turner,Football,Sports,1,903.79,903.79,207.46,10/08/2023,South,Bengaluru
ORD002345,CUST01333,Michael Martin,Coffee Beans,groceries,1,17504.37,17504.37,5099.33,2025-10-25,East,Guwahati
ORD002778,CUST00638,Randy Cannon,Sneakers,clothing,6,3184.63,19107.78,5977.38,06-16-2023,North,Lucknow
ORD004977,CUST00747,Michael Henry,Table Lamp,Home decor,1,7130.7,7130.7,2225.62,2023-11-15,East,Kolkata
ORD002259,CUST01016,Lori Flowers MD,Bluetooth Speaker,Electronic,8,19570.31,156562.48,25057.38,09-Dec-2023,East,Patna
ORD006871,CUST00834,Tyler Harris,Rug,HomeDecor,5,15178.53,75892.65,15055.11,26-Feb-2024,South,Kochi
ORD007355,CUST00739,Mr. David Wright,Sketchbook,Stationery,2,4484.65,8969.3,1868.7,10-31-2025,West,Mumbai
ORD002557,CUST00893,Jake Shaw,Laptop,ELECTRONICS,1,17850.08,17850.08,4754.03,20/10/2023,West,Surat
ORD005422,CUST00255,Cynthia Moore,Yoga Mat,SPORTS,1,9053.09,9053.09,614.48,2024-12-15,North,Lucknow
ORD001410,CUST01683,Charles Bush,Sofa,Furniture,7,1336.93,9358.51,681.6,14-Jul-2024,North,Jaipur
ORD004829,CUST00002,Noah Rhodes,Backpack,stationery,6,12181.43,73088.58,23559.28,2025-02-24,North,Delhi
ORD000095,CUST00029,Zachary Hicks,Office Chair,Furniture,7,12739.27,89174.89,21274.56,23-Oct-2025,North,Lucknow
ORD003402,CUST00055,Shannon Jones,Coffee Beans,Groceries,5,21131.28,105656.4,5393.38,18-May-2023,South,Chennai
ORD000407,CUST01744,Ann Kennedy,Jeans,Clothes,5,21467.78,107338.9,5824.31,17/08/2023,South,Hyderabad
ORD005724,CUST00711,Anthony Jones,Smartphone,ELECTRONICS,6,18964.06,113784.36,32850.78,15/06/2025,North,Delhi
ORD001141,CUST01063,Stephanie Evans,Coffee Table,Furnitures,1,1670.36,1670.36,485.6,08-23-2024,West,Pune
ORD005341,CUST00946,Paula Brown,Rug,Home Decor,4,8241.32,32965.28,3155.5,2025-03-04,West,Pune
ORD000499,CUST00898,Elizabeth Dean,Smartphone,Electronic,7,17421.67,121951.69,41862.51,2023-12-12,North,Delhi
ORD003105,CUST00808,Robert Gonzales,Pen Set,Stationary,2,2456.63,4913.26,1678.99,04-23-2023,West,Mumbai
ORD007260,CUST00279,Shannon James,Wall Art,home decor,8,14533.49,116267.92,23073.69,01-29-2024,East,Kolkata
ORD001564,CUST00975,Taylor Taylor,Sofa,Furnitures,6,1287.94,7727.64,2611.48,28/06/2024,West,Mumbai
ORD003853,CUST01284,Jesse Williams,Rug,HomeDecor,6,24670.77,148024.62,46197.32,28/03/2024,East,Guwahati
ORD004856,CUST01725,Sharon Young,Bluetooth Speaker,ELECTRONICS,6,11587.31,69523.86,6415.86,07-23-2025,North,Jaipur
ORD000611,CUST00896,Ryan Murphy,Coffee Beans,Grocery,7,6540.87,45786.09,3864.04,23/07/2023,West,Pune
ORD006385,CUST00804,Rodney Williams,Snack Box,Groceries,6,18456.13,110736.78,7980.32,03-11-2025,East,Patna
ORD004260,CUST00165,Michael Powell,T-Shirt,Clothing,1,22493.19,22493.19,7282.77,27/05/2024,South,Kochi
ORD001722,CUST01151,Jennifer Young,Football,sports,3,19966.6,59899.8,12373.56,26/04/2025,East,Patna
ORD001074,CUST00131,Elizabeth Kelley,Bicycle,Sport,7,15924.1,111468.7,16567.1,07-Mar-2025,South,Hyderabad
ORD000213,CUST00364,Nicole Parrish,Dining Table,Furniture,7,1159.76,8118.32,1085.69,25/06/2024,South,Bengaluru
ORD002085,CUST00867,Lori Mason,Camera,ELECTRONICS,3,15477.18,46431.54,9888.0,08-22-2023,South,Chennai
ORD007445,CUST01048,James Martin,Bluetooth Speaker,Electronics,7,5190.86,36336.02,9109.05,06-01-2025,West,Pune
ORD003794,CUST00840,Michele Smith,Running Shoes,Sport,1,24881.86,24881.86,4516.11,02/01/2023,East,Kolkata
ORD007659,CUST00923,Megan Green,Coffee Table,Furniture,1,5728.72,5728.72,1748.3,2025-03-14,South,Hyderabad
ORD001076,CUST01091,Vincent Reyes,Tennis Racket,SPORTS,7,951.82,6662.74,2036.72,10-Jun-2023,South,Chennai
ORD007899,CUST01287,Carrie Valdez,Dining Table,furniture,7,14683.63,102785.41,16616.45,31-Mar-2023,North,Jaipur
ORD001062,CUST01600,Ronald Murray,Football,SPORTS,2,19669.54,39339.08,13541.31,24-Dec-2025,North,Jaipur
ORD006261,CUST00256,Kristen Davis,Bluetooth Speaker,Electronics ,6,20156.23,120937.38,27125.64,18/01/2024,North,Delhi
ORD007538,CUST00312,Victor Taylor,Jeans,CLOTHING,1,10569.82,10569.82,1942.97,06-02-2023,East,Bhubaneswar
ORD003854,CUST00156,Michelle Brown,T-Shirt,clothing,5,3948.98,19744.9,2239.82,10/12/2025,South,Kochi
ORD006346,CUST01271,Kevin Escobar,Cereal,groceries,5,15145.15,75725.75,13219.97,04-21-2023,East,Guwahati
ORD003636,CUST01351,Destiny Obrien,Desk Organizer,Stationary,8,17222.9,137783.2,7883.15,16/06/2025,East,Patna
ORD003101,CUST01267,Shannon Taylor,Curtains,HomeDecor,1,8128.33,8128.33,2520.13,18/08/2023,South,Bengaluru
ORD005674,CUST00011,Monica Herrera,Rice Bag,Grocery,8,3536.83,28294.64,6030.24,09-05-2023,North,Jaipur
ORD000426,CUST01095,Michael Cooper,Camera,Electronic,5,16247.65,81238.25,8366.36,22-Mar-2023,West,Ahmedabad
ORD004637,CUST00472,Richard Cooper,Tablet,electronics,1,10945.06,10945.06,2345.12,2025-11-08,North,Lucknow
ORD007722,CUST01509,Desiree Spencer,Sofa,Furniture,4,17613.22,70452.88,18539.07,14-Jul-2025,South,Bengaluru
ORD007537,CUST00515,Angelica Parker,Dress,Clothes,3,17993.18,53979.54,11498.68,08-01-2024,North,Delhi
ORD006745,CUST00133,Mary Marshall,Headphones,ELECTRONICS,8,11122.72,88981.76,26722.46,25/02/2025,North,Lucknow
ORD002315,CUST00407,Lori Hernandez,Curtains,Home Decor,6,15750.46,94502.76,15882.44,2025-12-29,South,Kochi
ORD004167,CUST00144,Christopher Rubio,Rice Bag,Groceries,6,22123.66,132741.96,38768.37,25/04/2024,East,Patna
ORD005688,CUST00785,Margaret Harper,Smartwatch,Electronics ,8,24172.61,193380.88,26478.94,2024-07-28,West,Mumbai
ORD007128,CUST01374,William Prince PhD,Dining Table,Furnitures,5,14640.26,73201.3,7739.67,15-Nov-2023,North,Chandigarh
ORD006287,CUST00265,Yvonne Burns,Snack Box,Groceries,2,437.2,874.4,285.2,31-Aug-2023,South,Hyderabad
ORD005242,CUST00954,Alyssa Haynes,Cereal,Groceries,2,12858.7,25717.4,8732.72,01-Jun-2025,East,Patna
ORD000732,CUST01660,Andre Terrell,Coffee Table,furniture,4,17555.12,70220.48,4618.39,02-Jan-2024,South,Hyderabad
ORD002922,CUST00815,Scott Duke,Jacket,clothing,1,8332.29,8332.29,1969.27,22-Dec-2023,South,Chennai
ORD006533,CUST01758,Kevin Hernandez,Bookshelf,FURNITURE,2,17411.47,34822.94,5365.7,05-20-2023,East,Bhubaneswar
ORD002666,CUST00919,Bryan Moore,Smartwatch,Electronic,8,16772.9,134183.2,18007.28,03-Aug-2025,East,Guwahati
ORD006232,CUST01582,David Mcdaniel,Headphones,Electronic,6,10566.42,63398.52,7319.09,08-02-2024,South,Hyderabad
ORD007840,CUST00030,Anthony Rodriguez,Wall Clock,HomeDecor,5,23717.72,118588.6,18869.39,04-12-2024,North,Delhi
ORD006380,CUST00505,Katherine Martinez,Dumbbell Set,sports,6,18044.15,108264.9,24101.16,08-09-2024,South,Hyderabad
ORD001498,CUST01202,Michele Holland,Desk Organizer,stationery,3,20401.42,61204.26,5955.38,17/03/2024,North,Chandigarh
ORD003220,CUST00289,Lisa Allen,Pen Set,Stationary,1,13043.84,13043.84,2236.82,2024-07-15,West,Mumbai
ORD002634,CUST00670,Michael Morrison,Dress,Clothing,8,10210.71,81685.68,5182.18,2025-07-26,West,Pune
ORD002866,CUST01483,Kenneth Huff,Bicycle,SPORTS,8,3985.29,31882.32,3441.59,03-07-2024,West,Mumbai
ORD003377,CUST01126,Peter Williams,Jacket,clothing,8,2889.24,23113.92,8078.38,04/05/2024,North,Jaipur
ORD003929,CUST01747,Greg Osborne,Wall Clock,HomeDecor,1,4935.87,4935.87,665.29,02-21-2023,West,Mumbai
ORD005708,CUST00570,Michael Johnson,Wall Clock,Home Decor,7,11268.29,78878.03,5301.86,03-Aug-2023,East,Kolkata
ORD004696,CUST01210,Anthony Randolph,Yoga Mat,sports,8,21409.3,171274.4,27265.44,12-14-2024,South,Kochi
ORD000262,CUST00185,Lindsay Martinez,Running Shoes,SPORTS,6,24087.7,144526.2,19215.1,03-Feb-2024,West,Ahmedabad
ORD005074,CUST01785,Scott Anderson,Curtains,HomeDecor,8,15806.62,126452.96,18276.8,19/07/2023,East,Patna
ORD007955,CUST01213,Daniel White,Pen Set,STATIONERY,3,3275.58,9826.74,982.25,04-11-2024,North,Lucknow
ORD007711,CUST00998,Christina Johnson,Dining Table,furniture,1,11480.98,11480.98,823.33,05-05-2024,South,Kochi
ORD007440,CUST00299,Keith Jennings,Notebook,STATIONERY,8,9657.98,77263.84,20103.5,03-01-2023,North,Lucknow
ORD002851,CUST00560,Louis Martin,Coffee Table,FURNITURE,6,9922.77,59536.62,4248.65,11-17-2023,East,Bhubaneswar
ORD002639,CUST01631,Anna Evans,Laptop,Electronic,8,20757.34,166058.72,29168.11,2024-10-29,North,Jaipur
ORD003669,CUST01028,Steve Rivera,Bed Frame,FURNITURE,7,23237.81,162664.67,29926.12,21-Apr-2024,North,Lucknow
ORD005813,CUST00865,Austin Baker,Football,sports,1,15299.03,15299.03,1449.9,2023-12-15,East,Patna
ORD003253,CUST01661,Sarah Duncan,Football,sports,4,20494.39,81977.56,25917.14,12/07/2025,South,Bengaluru
ORD003706,CUST01225,Steven Lee,Rice Bag,Groceries,7,2076.54,14535.78,4096.52,2025-06-15,South,Bengaluru
ORD001537,CUST01681,Adrian Dean,Bluetooth Speaker,electronics,5,13057.7,65288.5,22335.43,12-18-2023,East,Bhubaneswar
ORD001292,CUST01706,,Photo Frame,,8,,12008.24,2855.98,31/05/2024,,Bhubaneswar
ORD003557,CUST01568,Wesley Browning,Bluetooth Speaker,ELECTRONICS,7,3783.98,26487.86,5194.22,03-01-2025,South,Hyderabad
ORD006299,CUST00728,Nancy Stewart,Dumbbell Set,sports,5,,3048.0,338.19,29-Jun-2024,North,Lucknow
ORD000697,CUST01040,Corey Whitaker,Tea Pack,GROCERIES,5,4229.35,21146.75,2310.51,18/05/2025,West,Mumbai
ORD005168,CUST00964,Tom Foster,Headphones,Electronics ,8,1517.9,12143.2,2478.31,09-28-2023,West,Ahmedabad
ORD006669,CUST00457,Dustin Gallegos,Pen Set,Stationery,1,23381.1,23381.1,3241.14,31/01/2024,South,Kochi
ORD004519,CUST00897,Aimee Gonzalez,Pen Set,Stationery,4,18968.44,75873.76,6710.89,07-03-2025,West,Mumbai
ORD003190,CUST01228,,Coffee Beans,,5,,114475.0,32207.44,2025-01-19,,Pune
ORD000164,CUST00386,Chad Scott,Table Lamp,Home Decor,7,16564.18,115949.26,29477.4,22-Feb-2023,South,Chennai
ORD000516,CUST01213,Daniel White,T-Shirt,CLOTHING,7,5362.02,37534.14,10835.94,09-10-2024,North,Lucknow
ORD004765,CUST00231,Jessica Stephens,Hoodie,Clothing,1,7094.72,7094.72,1598.1,2023-04-22,South,Kochi
ORD007580,CUST01017,Suzanne Jones,Pen Set,STATIONERY,3,7976.41,23929.23,3744.29,04/06/2023,South,Hyderabad
ORD004452,CUST00824,Jackie Clements,Olive Oil,Grocery,2,1036.33,2072.66,627.86,11-Jul-2024,South,Chennai
ORD007626,CUST01282,Jacob Williams,Football,SPORTS,6,22591.47,135548.82,7949.1,06-08-2025,West,Ahmedabad
ORD000021,CUST00502,,Cereal,groceries,4,,75585.92,21377.14,10-14-2023,,Kolkata
ORD003916,CUST00682,Justin Walker,Dining Table,Furniture,4,9547.37,38189.48,11148.91,02-27-2025,South,Kochi
ORD006784,CUST00701,Joseph Ochoa,Photo Frame,home decor,8,21559.27,172474.16,20536.83,15-Mar-2024,South,Kochi
ORD001442,CUST01074,David Stokes,Sofa,Furniture,5,3646.34,18231.7,2439.37,2025-05-22,West,Ahmedabad
ORD005013,CUST01007,Kristen Randall,Camera,Electronics,3,16008.95,48026.85,7365.21,05-Sep-2023,South,Hyderabad
ORD006593,CUST00356,Jesse Perez,Sketchbook,STATIONERY,1,14949.48,14949.48,2096.94,15-Mar-2024,North,Chandigarh
ORD004278,CUST00958,,Football,,1,,6680.7,363.61,2025-09-27,,Delhi
ORD003595,CUST01361,Megan Hall MD,Tablet,Electronics ,3,8276.47,24829.41,6325.42,2023-04-05,East,Patna
ORD000589,CUST00693,Crystal Mann,Olive Oil,GROCERIES,1,9922.67,9922.67,606.55,2023-11-06,East,Patna
ORD006945,CUST00619,Emily Wilson,Table Lamp,Home decor,6,15011.07,90066.42,28590.99,24/03/2023,South,Kochi
ORD001037,CUST00355,Patricia Le,Jacket,Clothes,2,8635.09,17270.18,3807.25,26-Jun-2023,East,Kolkata
ORD001467,CUST00532,Mark Jimenez,Dress,clothing,3,1243.86,3731.58,735.69,25/02/2024,East,Patna
ORD002338,CUST01255,Julia Dunn MD,Dress,clothing,3,12226.29,36678.87,6660.94,2024-06-22,West,Ahmedabad
ORD005851,CUST01415,Christopher Pena,Sketchbook,Stationary,2,10763.42,21526.84,2951.04,31/03/2025,North,Jaipur
ORD000165,CUST00606,Todd Rosales MD,Cereal,GROCERIES,1,14638.14,14638.14,5100.31,01-24-2024,East,Patna
ORD005017,CUST00804,Rodney Williams,Tea Pack,Groceries,4,12809.9,51239.6,12497.22,25/11/2023,East,Bhubaneswar
ORD007346,CUST01779,Megan Decker,Jeans,CLOTHING,7,5211.18,36478.26,7315.2,22/06/2023,East,Guwahati
ORD007305,CUST01585,Samuel Henry,Tea Pack,Grocery,1,,6426.16,993.39,04-Mar-2023,South,Kochi
ORD002914,CUST00213,Melissa Martinez,Bed Frame,FURNITURE,7,17407.59,121853.13,11750.43,03-Nov-2025,West,Surat
